postal_code,year,total_reviews,avg_review_stars,kw_aesthetic_count,kw_aesthetic_freq,kw_vibe_count,kw_vibe_freq,kw_vibes_count,kw_vibes_freq,kw_artisan_count,kw_artisan_freq,kw_artisanal_count,kw_artisanal_freq,kw_curated_count,kw_curated_freq,kw_craft_count,kw_craft_freq,kw_trendy_count,kw_trendy_freq,kw_hipster_count,kw_hipster_freq,kw_brunch_count,kw_brunch_freq,kw_organic_count,kw_organic_freq,kw_farm_to_table_count,kw_farm_to_table_freq,kw_locally_sourced_count,kw_locally_sourced_freq,kw_small_batch_count,kw_small_batch_freq,kw_handcrafted_count,kw_handcrafted_freq,kw_minimalist_count,kw_minimalist_freq,kw_instagrammable_count,kw_instagrammable_freq,kw_photogenic_count,kw_photogenic_freq,kw_rustic_count,kw_rustic_freq,kw_industrial_chic_count,kw_industrial_chic_freq,kw_exposed_brick_count,kw_exposed_brick_freq,kw_avocado_toast_count,kw_avocado_toast_freq,kw_matcha_count,kw_matcha_freq,kw_pour_over_count,kw_pour_over_freq,kw_charcuterie_count,kw_charcuterie_freq,kw_fusion_count,kw_fusion_freq,kw_upscale_count,kw_upscale_freq,kw_gentrified_count,kw_gentrified_freq,kw_bougie_count,kw_bougie_freq,kw_boujee_count,kw_boujee_freq,gentrify_language_score,total_food_businesses,avg_stars,avg_price_range,median_price_range,gentrify_biz_count,cat_new_american_count,cat_coffee_tea_count,cat_wine_bars_count,cat_cocktail_bars_count,cat_juice_bars_smoothies_count,cat_acai_bowls_count,cat_tapas_bars_count,cat_vegan_count,cat_gastropubs_count,cat_breakfast_brunch_count,cat_kombucha_count,cat_organic_stores_count,cat_beer_bar_count,cat_bubble_tea_count,gentrify_density,avg_rent,rent_obs_count,rent_yoy_change,rent_abs_change,next_year_avg_rent,next_year_rent_yoy_change,next_year_rent_abs_change,metro
08002,2021,1062,3.3192090395480225,0,0.0,11,0.010357815442561206,4,0.003766478342749529,0,0.0,0,0.0,0,0.0,4,0.003766478342749529,2,0.0018832391713747645,1,0.0009416195856873823,23,0.021657250470809793,3,0.002824858757062147,0,0.0,1,0.0009416195856873823,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,0.006591337099811676,0,0.0,0,0.0,1,0.0009416195856873823,3,0.002824858757062147,6,0.005649717514124294,0,0.0,0,0.0,0,0.0,0.0020715630885122416,185,3.3702702702702703,1.7125,2.0,41,0,19,4,3,4,1,1,0,0,11,0,1,0,3,0.22162162162162163,1926.5987399848702,11,,,2127.720323761737,10.439204573467432,201.1215837768666,Philly MSA
08002,2022,66,3.287878787878788,1,0.015151515151515152,1,0.015151515151515152,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00101010101010101,185,3.3702702702702703,1.7125,2.0,41,0,19,4,3,4,1,1,0,0,11,0,1,0,3,0.22162162162162163,2127.720323761737,12,10.439204573467432,201.1215837768666,2200.06828706625,3.400257190597511,72.34796330451309,Philly MSA
08021,2021,302,3.5463576158940397,0,0.0,2,0.006622516556291391,1,0.0033112582781456954,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0033112582781456954,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0033112582781456954,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0005518763796909492,120,3.3666666666666667,1.65625,2.0,13,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0.10833333333333334,1461.2016148067926,8,,,1700.2833138902595,16.36199253140571,239.0816990834669,Philly MSA
08033,2022,14,4.428571428571429,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0047619047619047615,99,3.787878787878788,1.9625,2.0,22,0,10,0,1,3,0,0,2,1,6,0,0,0,0,0.2222222222222222,1461.5896647995653,12,,,1656.1126510725371,13.309001216811955,194.52298627297182,Philly MSA
08053,2021,995,3.527638190954774,1,0.0010050251256281408,9,0.009045226130653266,2,0.0020100502512562816,0,0.0,0,0.0,1,0.0010050251256281408,0,0.0,1,0.0010050251256281408,0,0.0,24,0.024120603015075376,4,0.004020100502512563,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0010050251256281408,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0010050251256281408,1,0.0010050251256281408,0,0.0,0,0.0,1,0.0010050251256281408,2,0.0020100502512562816,0,0.0,0,0.0,0,0.0,0.0016080402010050247,195,3.5076923076923077,1.7352941176470589,2.0,46,0,20,1,3,7,1,0,2,0,16,0,3,1,2,0.2358974358974359,1874.4111448907315,11,,,2072.6122793229647,10.574048013558258,198.20113443223318,Philly MSA
08053,2022,58,3.396551724137931,0,0.0,1,0.017241379310344827,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.017241379310344827,0,0.0,0,0.0,0,0.0,0,0.0,0.0011494252873563218,195,3.5076923076923077,1.7352941176470589,2.0,46,0,20,1,3,7,1,0,2,0,16,0,3,1,2,0.2358974358974359,2072.6122793229647,12,10.574048013558258,198.20113443223318,2182.9958413598456,5.325818202376875,110.3835620368809,Philly MSA
08054,2016,1033,3.527589545014521,0,0.0,5,0.00484027105517909,1,0.000968054211035818,0,0.0,0,0.0,0,0.0,3,0.002904162633107454,0,0.0,1,0.000968054211035818,10,0.00968054211035818,4,0.003872216844143272,1,0.000968054211035818,1,0.000968054211035818,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.002904162633107454,6,0.005808325266214908,0,0.0,0,0.0,0,0.0,0.0011293965795417876,171,3.371345029239766,1.5928571428571427,2.0,27,0,17,0,0,1,0,1,0,0,8,0,1,0,0,0.15789473684210525,1409.318833604255,7,,,1436.5378785915352,1.931361757060257,27.219044987280313,Philly MSA
08054,2017,1219,3.543068088597211,0,0.0,8,0.006562756357670222,1,0.0008203445447087777,1,0.0008203445447087777,1,0.0008203445447087777,0,0.0,5,0.004101722723543888,1,0.0008203445447087777,1,0.0008203445447087777,11,0.009023789991796555,2,0.0016406890894175555,0,0.0,1,0.0008203445447087777,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.002461033634126333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.004922067268252666,5,0.004101722723543888,0,0.0,0,0.0,0,0.0,0.0012578616352201257,171,3.371345029239766,1.5928571428571427,2.0,27,0,17,0,0,1,0,1,0,0,8,0,1,0,0,0.15789473684210525,1436.5378785915352,12,1.931361757060257,27.219044987280313,1475.0038196591452,2.6776837312026958,38.46594106760995,Philly MSA
08054,2018,1206,3.3175787728026536,1,0.0008291873963515755,4,0.003316749585406302,1,0.0008291873963515755,0,0.0,0,0.0,0,0.0,5,0.0041459369817578775,0,0.0,0,0.0,7,0.005804311774461028,2,0.001658374792703151,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.003316749585406302,0,0.0,0,0.0,1,0.0008291873963515755,0,0.0,1,0.0008291873963515755,0,0.0,5,0.0041459369817578775,2,0.001658374792703151,0,0.0,0,0.0,0,0.0,0.000912106135986733,171,3.371345029239766,1.5928571428571427,2.0,27,0,17,0,0,1,0,1,0,0,8,0,1,0,0,0.15789473684210525,1475.0038196591452,12,2.6776837312026958,38.46594106760995,1517.1203088469804,2.8553478049682557,42.116489187835214,Philly MSA
08054,2019,1311,3.588100686498856,0,0.0,8,0.006102212051868803,1,0.0007627765064836003,0,0.0,0,0.0,0,0.0,5,0.0038138825324180014,0,0.0,0,0.0,9,0.006864988558352402,2,0.0015255530129672007,0,0.0,1,0.0007627765064836003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0007627765064836003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.002288329519450801,3,0.002288329519450801,0,0.0,0,0.0,0,0.0,0.0008390541571319603,171,3.371345029239766,1.5928571428571427,2.0,27,0,17,0,0,1,0,1,0,0,8,0,1,0,0,0.15789473684210525,1517.1203088469804,12,2.8553478049682557,42.116489187835214,1574.479949182236,3.780823445627002,57.35964033525556,Philly MSA
